inventory_id,candidate_id,filename,full_path,extension,width,height,file_size_bytes,image_sha256,source,source_url,license,creator,animal_common_name,animal_scientific_name,primary_camouflage,secondary_camouflage,environment,hardness_level,hard_negative,mask_status,mask_path,notes
INV-CGPT-011,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_42 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_42 PM.png",.png,1536,1024,2612046,123581fc725f754cd4e6162238b481d51dbcdfb6096d415ddf6d5e3c8fc26aa5,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-012,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_43 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_43 PM.png",.png,1536,1024,3355826,cb2bd6060bb0a21930bc2c259752e9f7100899fc4732f0bef3659a7ca6739a56,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-013,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_44 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_44 PM.png",.png,1536,1024,3069839,ae24185aac6bee9f692b1953f22d6da44dc66207f4dd38e27eeb10647a2b6fd1,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-014,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_46 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_46 PM.png",.png,1536,1024,3108971,b0db9c1bf278ace7e1bc6d6999f774b536016f9bf735af7768467b74240f3dfe,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-015,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_47 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_47 PM.png",.png,1536,1024,3167608,1ff9ec0537d61ea98ce7e637126b506ea29bf874f10fb096891d03759831c808,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-016,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_48 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_48 PM.png",.png,1536,1024,3180285,ab8c9b818b287cd2826853ea576cbaee3aaa70a5b77eb9f6b9be52c5cf934bf3,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-017,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_50 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_50 PM.png",.png,1536,1024,3421141,1e49bc7a29e32ca8b69e154d34bdb72e652482cf6716905061fec94af7811bed,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-018,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_51 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_51 PM.png",.png,1536,1024,3301685,fd7cc1bcc51b63ace45979184df1bbf619c4832246d7c59d57e77a6ac1833150,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-019,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_53 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_53 PM.png",.png,1536,1024,3147431,4a9703e29511c2bc66b828f8cba4998f8a15f02e5e970c586e2ec939b9fe7062,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-020,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_54 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_54 PM.png",.png,1536,1024,2890839,b8d01ab07e92b88d8a264bf98f4ab91dd2333c8f7a30340d9c545f561addae8f,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-021,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_56 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_56 PM.png",.png,1536,1024,3069459,c2e14ac931eb66e8bb09787d1fcf152040fa65448d3ef570e7f39c8ab7373551,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,EXACT_SHA256_DUPLICATE among ChatGPT Sep20 set; LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear; DUPLICATE_SHA
INV-CGPT-022,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_59 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_59 PM.png",.png,1536,1024,3069459,c2e14ac931eb66e8bb09787d1fcf152040fa65448d3ef570e7f39c8ab7373551,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,EXACT_SHA256_DUPLICATE among ChatGPT Sep20 set; LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear; DUPLICATE_SHA
INV-CGPT-023,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_16_00 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_16_00 PM.png",.png,1536,1024,3281036,370748f6102ad9d4ffb87b2c273685a7c2cdab7cc8db5bb61de1dc4ec7aa1079,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-024,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_16_02 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_16_02 PM.png",.png,1536,1024,3332379,6b78ba67625c2be9f600ce3a9e5bc28f1dc69b8fb818b6019ddab3c416b6168d,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
