collection_id,source_type,source_name,source_url,license,license_url,creator,original_id,image_filename,mask_filename,animal_class,animal_common_name,animal_scientific_name,primary_camouflage,secondary_camouflage,environment,environment_detail,geographic_region,water_or_land,occlusion,object_scale,contrast_level,silhouette_quality,multiple_animals,hardness_level,annotation_status,qa_status,collection_status,split,group_id,notes
CAND-011,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_Lizard.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Ashwin06k,File:Camouflage_Lizard.jpg,,,UNKNOWN,lizard,UNKNOWN,rock,texture;low-contrast,rocky terrain,Savanadurga rock substrate,India,land,UNKNOWN,UNKNOWN,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-012,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Stonefish_chilling_in_the_sun_in_Egypt.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,SEJanssen,File:Stonefish_chilling_in_the_sun_in_Egypt.jpg,,,UNKNOWN,stonefish,Synanceia horrida,rock,underwater;texture,coral reef,sea floor coral reef northern Egypt,Egypt,water,none,UNKNOWN,low,disrupted,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-013,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Reef_Stonefish_-_Synanceia_verrucosa.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,Francois Libert,File:Reef_Stonefish_-_Synanceia_verrucosa.jpg,,,UNKNOWN,reef stonefish,Synanceia verrucosa,rock,underwater;texture;cluttered background,coral reef,Marsa Alam reef substrate,Egypt,water,UNKNOWN,UNKNOWN,low,disrupted,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-014,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Reef_Stonefish.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,Richard Ling,File:Reef_Stonefish.jpg,,,UNKNOWN,reef stonefish,Synanceia verrucosa,rock,underwater;texture,coral reef,Steves Bommie Ribbon Reefs GBR,Australia,water,none,UNKNOWN,low,UNKNOWN,no,MODERATE,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-015,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Peacock_Flounder_Bothus_mancus_in_Kona.jpg,CC BY 2.5,https://creativecommons.org/licenses/by/2.5/,Mbz1,File:Peacock_Flounder_Bothus_mancus_in_Kona.jpg,,,UNKNOWN,peacock flounder,Bothus mancus,sand/mud,underwater;low-contrast;texture,ocean,Kona sand substrate; buried frame noted by author,Hawaii USA,water,severe,UNKNOWN,very_low,broken,no,EXTREME,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-016,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sepia_latimanus_(Broadclub_cuttlefish).jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Nick Hobgood,File:Ascarosepion_latimanus_(Broadclub_cuttlefish).jpg,,,UNKNOWN,broadclub cuttlefish,Ascarosepion latimanus,sand/mud,underwater;texture;low-contrast,ocean,sandy seabed color match,East Timor,water,none,UNKNOWN,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-017,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Squatina_squatina_camouflage.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Ben Jobson,iNaturalist observation 216885121 / photo 383613811,,,UNKNOWN,angelshark,Squatina squatina,underwater,sand/mud;foliage;low-contrast,seabed,flattened among seagrass/seaweed on sand,UNKNOWN,water,partial,UNKNOWN,low,disrupted,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-018,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_octopus.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,alana barthel,File:Camouflage_octopus.jpg,,,UNKNOWN,octopus,UNKNOWN,underwater,texture;low-contrast;cluttered background,coral reef,octopus center blending into coral,UNKNOWN,water,none,UNKNOWN,low,disrupted,no,EXTREME,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-019,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Octopus._The_best_camouflage_in_the_world-1.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Naydionkin Kirill,File:Octopus._The_best_camouflage_in_the_world-1.jpg,,,UNKNOWN,octopus,UNKNOWN,underwater,texture;rock,ocean,Red Sea seafloor adaptation series frame 1,Egypt,water,UNKNOWN,UNKNOWN,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-020,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Graceful_decorator_crab_(Oregonia_gracilis)_with_sponge.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,Ed Bierman,File:Graceful_decorator_crab_(Oregonia_gracilis)_with_sponge.jpg,,,UNKNOWN,graceful decorator crab,Oregonia gracilis,underwater,texture;cluttered background;broken silhouette,ocean,decorated with sponge Monterey area,USA California,water,partial,UNKNOWN,low,broken,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-021,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hippolyte_varians_hippolyte_variable_Wimmereux_16_juillet_2016_F_Lamiot_a_01.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,F. Lamiot,File:Hippolyte_varians_hippolyte_variable_Wimmereux_16_juillet_2016_F_Lamiot_a_01.jpg,,,UNKNOWN,chameleon prawn,Hippolyte varians,underwater,foliage;texture;low-contrast,ocean,Wimmereux coastal algae association,France,water,UNKNOWN,SMALL,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-022,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hippolyte_varians_hippolyte_variable_Wimmereux_16_juillet_2016_F_Lamiot_a_02.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,F. Lamiot,File:Hippolyte_varians_hippolyte_variable_Wimmereux_16_juillet_2016_F_Lamiot_a_02.jpg,,,UNKNOWN,chameleon prawn,Hippolyte varians,underwater,foliage;texture,ocean,Wimmereux series alternate frame,France,water,UNKNOWN,SMALL,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-023,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Brauen_Glattstirnkaiman_Paleosuchus_palpebrosus.jpg,UNKNOWN,UNKNOWN,UNKNOWN,File:Brauen_Glattstirnkaiman_Paleosuchus_palpebrosus.jpg,,,UNKNOWN,Cuvier's dwarf caiman,Paleosuchus palpebrosus,shadow/low-light,low-contrast;texture,river,caiman crypsis category listing,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,no,UNKNOWN,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-024,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crocodile_in_Kachikali_kevinzim.jpg,UNKNOWN,UNKNOWN,kevinzim,File:Crocodile_in_Kachikali_kevinzim.jpg,,,UNKNOWN,crocodile,UNKNOWN,shadow/low-light,sand/mud;partial occlusion;low-contrast,wetland,Kachikali water margin,UNKNOWN,water,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-025,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crocodylus_acutus_black_and_white_2.jpg,UNKNOWN,UNKNOWN,UNKNOWN,File:Crocodylus_acutus_black_and_white_2.jpg,,,UNKNOWN,American crocodile,Crocodylus acutus,shadow/low-light,low-contrast;texture,mangrove,B&W may reduce usefulness for color COD; review visually,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,no,MODERATE,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-026,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Crypsis_in_mammals,UNKNOWN,UNKNOWN,UNKNOWN,CATEGORY:Crypsis_in_mammals,,,UNKNOWN,UNKNOWN,UNKNOWN,shadow/low-light,texture,other,category portal for mammal crypsis discovery,UNKNOWN,land,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-027,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_DSC05383_-_Original_image.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Lior Golgher,File:Camouflage_DSC05383_-_Original_image.JPG,,,UNKNOWN,frog,UNKNOWN,low-contrast,tiny/distant;foliage;cluttered background,jungle,Lower Rio Branco-Rio Jauaperi Reserve; frog ~ stick tip size,Brazil,land,none,TINY,very_low,broken,no,EXTREME,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-028,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflaged_chiton.jpg,UNKNOWN,UNKNOWN,UNKNOWN,File:Camouflaged_chiton.jpg,,,UNKNOWN,chiton,UNKNOWN,texture,rock;underwater;low-contrast,rocky terrain,rock-matching chiton crypsis,UNKNOWN,water,UNKNOWN,UNKNOWN,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-029,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflaging_Moth_on_a_Wall.jpg,UNKNOWN,UNKNOWN,UNKNOWN,File:Camouflaging_Moth_on_a_Wall.jpg,,,UNKNOWN,moth,UNKNOWN,texture,low-contrast,urban-edge/natural interface,moth on wall texture match,UNKNOWN,land,none,UNKNOWN,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-030,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Allied_cowry_Nick_Hobgood.jpg,UNKNOWN,UNKNOWN,Nick Hobgood,File:Allied_cowry_Nick_Hobgood.jpg,,,UNKNOWN,allied cowry,UNKNOWN,texture,underwater;rock,coral reef,cowry crypsis on reef substrate,UNKNOWN,water,UNKNOWN,SMALL,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-031,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Crypsis_in_arachnids,UNKNOWN,UNKNOWN,UNKNOWN,CATEGORY:Crypsis_in_arachnids,,,UNKNOWN,UNKNOWN,UNKNOWN,texture,foliage;bark,forest,portal for crab-spider / bark spider crypsis,UNKNOWN,land,UNKNOWN,TINY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-032,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_DSC05383.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Lior Golgher,File:Camouflage_DSC05383.JPG,,,UNKNOWN,frog,UNKNOWN,tiny/distant,partial occlusion;low-contrast;cluttered background,jungle,annotated highlight version of CAND-027,Brazil,land,none,TINY,very_low,broken,no,EXTREME,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-033,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Crypsis_in_birds,UNKNOWN,UNKNOWN,UNKNOWN,CATEGORY:Crypsis_in_birds,,,UNKNOWN,UNKNOWN,UNKNOWN,broken silhouette,bark;foliage,forest,portal for additional bird crypsis beyond frogmouth,UNKNOWN,land,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-034,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Animals_mimicking_debris_or_dung,UNKNOWN,UNKNOWN,UNKNOWN,CATEGORY:Animals_mimicking_debris_or_dung,,,UNKNOWN,UNKNOWN,UNKNOWN,broken silhouette,texture;cluttered background,other,debris/dung mimicry subcategory,UNKNOWN,land,UNKNOWN,UNKNOWN,UNKNOWN,broken,UNKNOWN,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-035,research_repo,NOAA Ocean Exploration / OMAO licensing policy,https://www.omao.noaa.gov/image-licensing-usage-info,NOAA generally not copyrighted (US gov work; verify per image),https://www.omao.noaa.gov/image-licensing-usage-info,NOAA (per-image credit required),NOAA-OMAO-POLICY-PORTAL,,,UNKNOWN,UNKNOWN,UNKNOWN,partial occlusion,underwater;low-contrast,ocean,policy portal for selecting deep-sea/benthic stills with animals,UNKNOWN,water,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-036,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Thick_Forest.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Vu2sga,File:Thick_Forest.jpg,,,UNKNOWN,none,none,cluttered background,foliage,forest,dense Pachmarhi Biosphere Reserve; vegetation-only hard-negative,India,land,n/a,n/a,n/a,n/a,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-037,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Jungle_beauty.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,RaktimKantiBhowmick,File:Jungle_beauty.jpg,,,UNKNOWN,none,none,cluttered background,foliage,jungle,deep jungle AJC Bose Botanic Garden; empty jungle hard-negative,India,land,n/a,n/a,n/a,n/a,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-038,open_repository,Wikimedia Commons / NOAA,https://commons.wikimedia.org/wiki/File:Mangroves.jpg,Public Domain (NOAA),https://www.omao.noaa.gov/image-licensing-usage-info,NOAA,File:Mangroves.jpg,,,UNKNOWN,none,none,cluttered background,underwater;branch,mangrove,submerged tangled mangrove root system,UNKNOWN,water,n/a,n/a,n/a,n/a,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-039,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Detail_of_mangrove_roots.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,UNKNOWN,File:Detail_of_mangrove_roots.jpg,,,UNKNOWN,none,none,cluttered background,branch;texture,mangrove,Rhizophora mangle root detail Prado Bahia,Brazil,land,n/a,n/a,n/a,n/a,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-040,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Gfp-florida-biscayne-national-park-mangroves.jpg,Public Domain (CC Public Domain Dedication),https://creativecommons.org/publicdomain/mark/1.0/,Yinan Chen,File:Gfp-florida-biscayne-national-park-mangroves.jpg,,,UNKNOWN,none,none,cluttered background,foliage,mangrove,Biscayne NP mangroves and roots,USA Florida,land,n/a,n/a,n/a,n/a,no,MODERATE,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-041,research_repo,USGS,https://www.usgs.gov/media/images/elwha-river-rocks,Public Domain (USGS),https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,USGS Pacific Coastal and Marine Science Center,usgs-media-elwha-river-rocks,,,UNKNOWN,none,none,cluttered background,rock;underwater,river,Elwha River delta seafloor rocks ~30m; laser scale dots present,USA Washington,water,n/a,n/a,n/a,n/a,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-042,research_repo,USGS,https://cmgds.marine.usgs.gov/data/field-activity-data/2015-062-FA/data/imagery/2015-062-FA_SeabedImages_meta.html,Public Domain (USGS),https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,Page C. Valentine / USGS,2015-062-FA seabed stills collection,,,UNKNOWN,none,none,cluttered background,sand/mud;underwater,seabed,Stellwagen Bank SEABOSS seabed stills; select animal-free frames,USA Massachusetts,water,n/a,n/a,n/a,n/a,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-043,research_repo,USGS,https://cmgds.marine.usgs.gov/catalog/pcmsc/DataReleases/CMGDS_DR_tool/DR_P13ZPWNS/KonaHawaiiClassifiedUnderwaterImages_metadata.html,Public Domain (USGS),https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,USGS,KonaHawaiiClassifiedUnderwaterImages,,,UNKNOWN,none,none,cluttered background,underwater;rock,coral reef,Kona coast substrate/coral habitat; select empty underwater frames,Hawaii USA,water,n/a,n/a,n/a,n/a,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-044,research_repo,NOAA / Hugging Face (MOUSS metadata),https://huggingface.co/datasets/akridge/MOUSS_fish_imagery_dataset_grayscale_small,Public Domain (NOAA Open Data) — verify card,https://huggingface.co/datasets/akridge/MOUSS_fish_imagery_dataset_grayscale_small,NOAA PIFSC / MOUSS,MOUSS_fish_imagery_dataset_grayscale_small,,,UNKNOWN,none,none,cluttered background,underwater;low-contrast,ocean,grayscale MOUSS underwater; use ONLY confirmed empty frames as hard negatives,Pacific (PIFSC),water,n/a,n/a,n/a,n/a,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,HARD_NEGATIVE; MISSING_LOCAL_FILE; not found outside COD10K; not staged
UNMAPPED-CGPT-001,other,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"ChatGPT Image Sep 20, 2026, 09_15_29 PM.png","ChatGPT Image Sep 20, 2026, 09_15_29 PM.png",,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_STARTED,NOT_CHECKED,LICENSE_UNCLEAR,UNASSIGNED,GRP-CGPT-SEP20,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear; REJECTED_FROM_VERIFIED_STAGING
