collection_id,source_type,source_name,source_url,license,license_url,creator,original_id,animal_common_name,animal_scientific_name,primary_camouflage,secondary_camouflage,environment,environment_detail,geographic_region,water_or_land,occlusion,object_scale,contrast_level,silhouette_quality,multiple_animals,hardness_level,collection_status,split,group_id,notes
CAND-023,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Brauen_Glattstirnkaiman_Paleosuchus_palpebrosus.jpg,UNKNOWN,UNKNOWN,UNKNOWN,File:Brauen_Glattstirnkaiman_Paleosuchus_palpebrosus.jpg,Cuvier's dwarf caiman,Paleosuchus palpebrosus,shadow/low-light,low-contrast;texture,river,caiman crypsis category listing,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,no,UNKNOWN,CANDIDATE,UNASSIGNED,none,MANUAL_LICENSE_REVIEW: listed in Animal camouflage category; creator/license not verified this pass
CAND-024,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crocodile_in_Kachikali_kevinzim.jpg,UNKNOWN,UNKNOWN,kevinzim,File:Crocodile_in_Kachikali_kevinzim.jpg,crocodile,UNKNOWN,shadow/low-light,sand/mud;partial occlusion;low-contrast,wetland,Kachikali water margin,UNKNOWN,water,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HARD,CANDIDATE,UNASSIGNED,none,MANUAL_LICENSE_REVIEW: verify Commons license before acquire
CAND-025,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crocodylus_acutus_black_and_white_2.jpg,UNKNOWN,UNKNOWN,UNKNOWN,File:Crocodylus_acutus_black_and_white_2.jpg,American crocodile,Crocodylus acutus,shadow/low-light,low-contrast;texture,mangrove,B&W may reduce usefulness for color COD; review visually,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,no,MODERATE,CANDIDATE,UNASSIGNED,none,MANUAL_LICENSE_REVIEW + visual review for B&W domain fit
CAND-026,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Crypsis_in_mammals,UNKNOWN,UNKNOWN,UNKNOWN,CATEGORY:Crypsis_in_mammals,UNKNOWN,UNKNOWN,shadow/low-light,texture,other,category portal for mammal crypsis discovery,UNKNOWN,land,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE,UNASSIGNED,GRP-SRC-CAT-MAMMAL,SOURCE PORTAL not single image; pick 1-2 CC mammal crypsis files later; MANUAL_LICENSE_REVIEW per file
CAND-027,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_DSC05383_-_Original_image.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Lior Golgher,File:Camouflage_DSC05383_-_Original_image.JPG,frog,UNKNOWN,low-contrast,tiny/distant;foliage;cluttered background,jungle,Lower Rio Branco-Rio Jauaperi Reserve; frog ~ stick tip size,Brazil,land,none,TINY,very_low,broken,no,EXTREME,CANDIDATE,UNASSIGNED,GRP-FROG-XIXUAU-001,Annotated companion Camouflage_DSC05383.JPG exists; prefer unmarked original; manual mask required
CAND-028,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflaged_chiton.jpg,UNKNOWN,UNKNOWN,UNKNOWN,File:Camouflaged_chiton.jpg,chiton,UNKNOWN,texture,rock;underwater;low-contrast,rocky terrain,rock-matching chiton crypsis,UNKNOWN,water,UNKNOWN,UNKNOWN,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,none,MANUAL_LICENSE_REVIEW: confirm Commons license/creator before acquire
CAND-029,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflaging_Moth_on_a_Wall.jpg,UNKNOWN,UNKNOWN,UNKNOWN,File:Camouflaging_Moth_on_a_Wall.jpg,moth,UNKNOWN,texture,low-contrast,urban-edge/natural interface,moth on wall texture match,UNKNOWN,land,none,UNKNOWN,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,none,MANUAL_LICENSE_REVIEW; urban substrate may be out-of-domain—review relevance
CAND-030,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Allied_cowry_Nick_Hobgood.jpg,UNKNOWN,UNKNOWN,Nick Hobgood,File:Allied_cowry_Nick_Hobgood.jpg,allied cowry,UNKNOWN,texture,underwater;rock,coral reef,cowry crypsis on reef substrate,UNKNOWN,water,UNKNOWN,SMALL,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,none,MANUAL_LICENSE_REVIEW: Nick Hobgood often CC BY-SA 3.0 but not verified this pass
CAND-031,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Crypsis_in_arachnids,UNKNOWN,UNKNOWN,UNKNOWN,CATEGORY:Crypsis_in_arachnids,UNKNOWN,UNKNOWN,texture,foliage;bark,forest,portal for crab-spider / bark spider crypsis,UNKNOWN,land,UNKNOWN,TINY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE,UNASSIGNED,GRP-SRC-CAT-ARACHNID,SOURCE PORTAL; select 1-2 CC arachnid crypsis images later; MANUAL_LICENSE_REVIEW per file
CAND-032,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_DSC05383.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Lior Golgher,File:Camouflage_DSC05383.JPG,frog,UNKNOWN,tiny/distant,partial occlusion;low-contrast;cluttered background,jungle,annotated highlight version of CAND-027,Brazil,land,none,TINY,very_low,broken,no,EXTREME,CANDIDATE,UNASSIGNED,GRP-FROG-XIXUAU-001,Annotated/highlight derivative; prefer unmarked CAND-027 for training; annotator aid only
CAND-033,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Crypsis_in_birds,UNKNOWN,UNKNOWN,UNKNOWN,CATEGORY:Crypsis_in_birds,UNKNOWN,UNKNOWN,broken silhouette,bark;foliage,forest,portal for additional bird crypsis beyond frogmouth,UNKNOWN,land,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE,UNASSIGNED,GRP-SRC-CAT-BIRD,SOURCE PORTAL; pick CC bird crypsis with clear license; avoid soft portraits
CAND-034,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Animals_mimicking_debris_or_dung,UNKNOWN,UNKNOWN,UNKNOWN,CATEGORY:Animals_mimicking_debris_or_dung,UNKNOWN,UNKNOWN,broken silhouette,texture;cluttered background,other,debris/dung mimicry subcategory,UNKNOWN,land,UNKNOWN,UNKNOWN,UNKNOWN,broken,UNKNOWN,HARD,CANDIDATE,UNASSIGNED,GRP-SRC-CAT-DEBRIS,SOURCE PORTAL for broken-silhouette mimics; MANUAL_LICENSE_REVIEW per file
CAND-035,research_repo,NOAA Ocean Exploration / OMAO licensing policy,https://www.omao.noaa.gov/image-licensing-usage-info,NOAA generally not copyrighted (US gov work; verify per image),https://www.omao.noaa.gov/image-licensing-usage-info,NOAA (per-image credit required),NOAA-OMAO-POLICY-PORTAL,UNKNOWN,UNKNOWN,partial occlusion,underwater;low-contrast,ocean,policy portal for selecting deep-sea/benthic stills with animals,UNKNOWN,water,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE,UNASSIGNED,GRP-SRC-NOAA-POLICY,SOURCE POLICY PORTAL; exclude pages marked copyright/third-party; pick hard underwater animal stills later
CAND-036,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Thick_Forest.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Vu2sga,File:Thick_Forest.jpg,none,none,cluttered background,foliage,forest,dense Pachmarhi Biosphere Reserve; vegetation-only hard-negative,India,land,n/a,n/a,n/a,n/a,no,HARD,CANDIDATE,UNASSIGNED,GRP-HN-VEG-001,HARD_NEGATIVE: vegetation-only / empty forest; all-zero mask required
CAND-037,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Jungle_beauty.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,RaktimKantiBhowmick,File:Jungle_beauty.jpg,none,none,cluttered background,foliage,jungle,deep jungle AJC Bose Botanic Garden; empty jungle hard-negative,India,land,n/a,n/a,n/a,n/a,no,HARD,CANDIDATE,UNASSIGNED,GRP-HN-VEG-002,HARD_NEGATIVE: empty jungle; all-zero mask; verify no animals on visual review
CAND-038,open_repository,Wikimedia Commons / NOAA,https://commons.wikimedia.org/wiki/File:Mangroves.jpg,Public Domain (NOAA),https://www.omao.noaa.gov/image-licensing-usage-info,NOAA,File:Mangroves.jpg,none,none,cluttered background,underwater;branch,mangrove,submerged tangled mangrove root system,UNKNOWN,water,n/a,n/a,n/a,n/a,no,HARD,CANDIDATE,UNASSIGNED,GRP-HN-MANGROVE-001,HARD_NEGATIVE: underwater vegetation / root clutter; all-zero mask
CAND-039,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Detail_of_mangrove_roots.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,UNKNOWN,File:Detail_of_mangrove_roots.jpg,none,none,cluttered background,branch;texture,mangrove,Rhizophora mangle root detail Prado Bahia,Brazil,land,n/a,n/a,n/a,n/a,no,HARD,CANDIDATE,UNASSIGNED,GRP-HN-MANGROVE-002,HARD_NEGATIVE: tangled roots; MANUAL_LICENSE_REVIEW creator attribution; all-zero mask
CAND-040,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Gfp-florida-biscayne-national-park-mangroves.jpg,Public Domain (CC Public Domain Dedication),https://creativecommons.org/publicdomain/mark/1.0/,Yinan Chen,File:Gfp-florida-biscayne-national-park-mangroves.jpg,none,none,cluttered background,foliage,mangrove,Biscayne NP mangroves and roots,USA Florida,land,n/a,n/a,n/a,n/a,no,MODERATE,CANDIDATE,UNASSIGNED,GRP-HN-MANGROVE-003,HARD_NEGATIVE: mangroves; verify no wildlife in frame; all-zero mask
CAND-041,research_repo,USGS,https://www.usgs.gov/media/images/elwha-river-rocks,Public Domain (USGS),https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,USGS Pacific Coastal and Marine Science Center,usgs-media-elwha-river-rocks,none,none,cluttered background,rock;underwater,river,Elwha River delta seafloor rocks ~30m; laser scale dots present,USA Washington,water,n/a,n/a,n/a,n/a,no,HARD,CANDIDATE,UNASSIGNED,GRP-HN-USGS-ELWHA,HARD_NEGATIVE: rocks-only underwater; video still; laser dots as distractors; all-zero mask
CAND-042,research_repo,USGS,https://cmgds.marine.usgs.gov/data/field-activity-data/2015-062-FA/data/imagery/2015-062-FA_SeabedImages_meta.html,Public Domain (USGS),https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,Page C. Valentine / USGS,2015-062-FA seabed stills collection,none,none,cluttered background,sand/mud;underwater,seabed,Stellwagen Bank SEABOSS seabed stills; select animal-free frames,USA Massachusetts,water,n/a,n/a,n/a,n/a,no,HARD,CANDIDATE,UNASSIGNED,GRP-HN-USGS-STELLWAGEN,HARD_NEGATIVE SOURCE SET: pick 2-3 animal-free JPEGs; sequence grouping; all-zero masks
CAND-043,research_repo,USGS,https://cmgds.marine.usgs.gov/catalog/pcmsc/DataReleases/CMGDS_DR_tool/DR_P13ZPWNS/KonaHawaiiClassifiedUnderwaterImages_metadata.html,Public Domain (USGS),https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,USGS,KonaHawaiiClassifiedUnderwaterImages,none,none,cluttered background,underwater;rock,coral reef,Kona coast substrate/coral habitat; select empty underwater frames,Hawaii USA,water,n/a,n/a,n/a,n/a,no,HARD,CANDIDATE,UNASSIGNED,GRP-HN-USGS-KONA,HARD_NEGATIVE SOURCE SET: empty underwater / coral clutter; avoid fish frames; all-zero masks
CAND-044,research_repo,NOAA / Hugging Face (MOUSS metadata),https://huggingface.co/datasets/akridge/MOUSS_fish_imagery_dataset_grayscale_small,Public Domain (NOAA Open Data) — verify card,https://huggingface.co/datasets/akridge/MOUSS_fish_imagery_dataset_grayscale_small,NOAA PIFSC / MOUSS,MOUSS_fish_imagery_dataset_grayscale_small,none,none,cluttered background,underwater;low-contrast,ocean,grayscale MOUSS underwater; use ONLY confirmed empty frames as hard negatives,Pacific (PIFSC),water,n/a,n/a,n/a,n/a,no,HARD,CANDIDATE,UNASSIGNED,GRP-HN-MOUSS,HARD_NEGATIVE CANDIDATE SET (grayscale): do NOT use fish-positive frames as negatives; grayscale domain-shift note; MANUAL review
